TargetName	Module	CodeClass	GeneID	SystematicName	Negative	DetectedSegments	DetectionRate
EPHX1	Hs_R_NGS_WTA_v1.0	Endogenous	2052	EPHX1	FALSE	191	0.9502487562189055
EPOR	Hs_R_NGS_WTA_v1.0	Endogenous	2057	EPOR	FALSE	44	0.21890547263681592
ERCC5	Hs_R_NGS_WTA_v1.0	Endogenous	2073, 100533467	BIVM-ERCC5, ERCC5	FALSE	93	0.4626865671641791
EXT1	Hs_R_NGS_WTA_v1.0	Endogenous	2131	EXT1	FALSE	103	0.5124378109452736
F13A1	Hs_R_NGS_WTA_v1.0	Endogenous	2162	F13A1	FALSE	33	0.16417910447761194
F5	Hs_R_NGS_WTA_v1.0	Endogenous	2153	F5	FALSE	53	0.263681592039801
FAH	Hs_R_NGS_WTA_v1.0	Endogenous	2184	FAH	FALSE	99	0.4925373134328358
FECH	Hs_R_NGS_WTA_v1.0	Endogenous	2235	FECH	FALSE	114	0.5671641791044776
FGFR2	Hs_R_NGS_WTA_v1.0	Endogenous	2263	FGFR2	FALSE	30	0.14925373134328357
FH	Hs_R_NGS_WTA_v1.0	Endogenous	2271	FH	FALSE	135	0.6716417910447762
FUCA1	Hs_R_NGS_WTA_v1.0	Endogenous	2517	FUCA1	FALSE	112	0.5572139303482587
FUT6	Hs_R_NGS_WTA_v1.0	Endogenous	2528	FUT6	FALSE	42	0.208955223880597
G6PC1	Hs_R_NGS_WTA_v1.0	Endogenous	2538	G6PC1	FALSE	22	0.10945273631840796
GALC	Hs_R_NGS_WTA_v1.0	Endogenous	2581	GALC	FALSE	118	0.5870646766169154
GALK1	Hs_R_NGS_WTA_v1.0	Endogenous	2584	GALK1	FALSE	48	0.23880597014925373
GALT	Hs_R_NGS_WTA_v1.0	Endogenous	2592	GALT	FALSE	148	0.736318407960199
GBE1	Hs_R_NGS_WTA_v1.0	Endogenous	2632	GBE1	FALSE	147	0.7313432835820896
GCDH	Hs_R_NGS_WTA_v1.0	Endogenous	2639	GCDH	FALSE	49	0.24378109452736318
GCGR	Hs_R_NGS_WTA_v1.0	Endogenous	2642	GCGR	FALSE	64	0.31840796019900497
GCH1	Hs_R_NGS_WTA_v1.0	Endogenous	2643	GCH1	FALSE	76	0.3781094527363184
GHR	Hs_R_NGS_WTA_v1.0	Endogenous	2690	GHR	FALSE	68	0.3383084577114428
GIPR	Hs_R_NGS_WTA_v1.0	Endogenous	2696	GIPR	FALSE	31	0.15422885572139303
GJA1	Hs_R_NGS_WTA_v1.0	Endogenous	2697	GJA1	FALSE	117	0.582089552238806
GK	Hs_R_NGS_WTA_v1.0	Endogenous	2713, 2710	GK, GK3P	FALSE	119	0.5920398009950248
GLDC	Hs_R_NGS_WTA_v1.0	Endogenous	2731	GLDC	FALSE	71	0.35323383084577115
GP9	Hs_R_NGS_WTA_v1.0	Endogenous	2815	GP9	FALSE	45	0.22388059701492538
GPI	Hs_R_NGS_WTA_v1.0	Endogenous	2821	GPI	FALSE	191	0.9502487562189055
GSN	Hs_R_NGS_WTA_v1.0	Endogenous	2934	GSN	FALSE	199	0.9900497512437811
GSS	Hs_R_NGS_WTA_v1.0	Endogenous	2937	GSS	FALSE	64	0.31840796019900497
MSH6	Hs_R_NGS_WTA_v1.0	Endogenous	2956	MSH6	FALSE	58	0.2885572139303483
GUSB	Hs_R_NGS_WTA_v1.0	Endogenous	2990	GUSB	FALSE	153	0.7611940298507462
HADHA	Hs_R_NGS_WTA_v1.0	Endogenous	3030	HADHA	FALSE	186	0.9253731343283582
HADHB	Hs_R_NGS_WTA_v1.0	Endogenous	3032	HADHB	FALSE	149	0.7412935323383084
HBG2	Hs_R_NGS_WTA_v1.0	Endogenous	3048, 3047	HBG2, HBG1	FALSE	23	0.11442786069651742
HGD	Hs_R_NGS_WTA_v1.0	Endogenous	3081	HGD	FALSE	85	0.4228855721393035
HK1	Hs_R_NGS_WTA_v1.0	Endogenous	3098	HK1	FALSE	168	0.835820895522388
HK2	Hs_R_NGS_WTA_v1.0	Endogenous	3099	HK2	FALSE	27	0.13432835820895522
HMGCL	Hs_R_NGS_WTA_v1.0	Endogenous	3155	HMGCL	FALSE	89	0.4427860696517413
HPRT1	Hs_R_NGS_WTA_v1.0	Endogenous	3251	HPRT1	FALSE	97	0.48258706467661694
HPS1	Hs_R_NGS_WTA_v1.0	Endogenous	3257	HPS1	FALSE	105	0.5223880597014925
HSD11B2	Hs_R_NGS_WTA_v1.0	Endogenous	3291	HSD11B2	FALSE	93	0.4626865671641791
HSD17B3	Hs_R_NGS_WTA_v1.0	Endogenous	3293	HSD17B3	FALSE	67	0.3333333333333333
HSD3B2	Hs_R_NGS_WTA_v1.0	Endogenous	3284	HSD3B2	FALSE	84	0.417910447761194
SGSH	Hs_R_NGS_WTA_v1.0	Endogenous	6448	SGSH	FALSE	95	0.472636815920398
ICAM1	Hs_R_NGS_WTA_v1.0	Endogenous	3383	ICAM1	FALSE	153	0.7611940298507462
IDS	Hs_R_NGS_WTA_v1.0	Endogenous	3423	IDS	FALSE	173	0.8606965174129353
IDUA	Hs_R_NGS_WTA_v1.0	Endogenous	3425	IDUA	FALSE	88	0.43781094527363185
CFI	Hs_R_NGS_WTA_v1.0	Endogenous	3426	CFI	FALSE	89	0.4427860696517413
INSR	Hs_R_NGS_WTA_v1.0	Endogenous	3643	INSR	FALSE	179	0.8905472636815921
PDX1	Hs_R_NGS_WTA_v1.0	Endogenous	3651	PDX1	FALSE	30	0.14925373134328357
ITGA6	Hs_R_NGS_WTA_v1.0	Endogenous	3655	ITGA6	FALSE	133	0.6616915422885572
ITGB2	Hs_R_NGS_WTA_v1.0	Endogenous	3689	ITGB2	FALSE	73	0.36318407960199006
JAG1	Hs_R_NGS_WTA_v1.0	Endogenous	182	JAG1	FALSE	130	0.6467661691542289
JAK3	Hs_R_NGS_WTA_v1.0	Endogenous	3718	JAK3	FALSE	79	0.39303482587064675
KHK	Hs_R_NGS_WTA_v1.0	Endogenous	3795	KHK	FALSE	58	0.2885572139303483
KRT12	Hs_R_NGS_WTA_v1.0	Endogenous	3859	KRT12	FALSE	90	0.44776119402985076
KRT18	Hs_R_NGS_WTA_v1.0	Endogenous	3875	KRT18	FALSE	197	0.9800995024875622
LAMA3	Hs_R_NGS_WTA_v1.0	Endogenous	3909	LAMA3	FALSE	26	0.12935323383084577
LCAT	Hs_R_NGS_WTA_v1.0	Endogenous	3931	LCAT	FALSE	49	0.24378109452736318
SGCB	Hs_R_NGS_WTA_v1.0	Endogenous	6443	SGCB	FALSE	190	0.945273631840796
LIPA	Hs_R_NGS_WTA_v1.0	Endogenous	3988	LIPA	FALSE	147	0.7313432835820896
LYZ	Hs_R_NGS_WTA_v1.0	Endogenous	4069	LYZ	FALSE	108	0.5373134328358209
MLH1	Hs_R_NGS_WTA_v1.0	Endogenous	4292	MLH1	FALSE	67	0.3333333333333333
MSH2	Hs_R_NGS_WTA_v1.0	Endogenous	4436	MSH2	FALSE	35	0.17412935323383086
MTR	Hs_R_NGS_WTA_v1.0	Endogenous	4548	MTR	FALSE	33	0.16417910447761194
MMUT	Hs_R_NGS_WTA_v1.0	Endogenous	4594	MMUT	FALSE	40	0.19900497512437812
MYL3	Hs_R_NGS_WTA_v1.0	Endogenous	4634	MYL3	FALSE	128	0.6368159203980099
MYO5A	Hs_R_NGS_WTA_v1.0	Endogenous	4644	MYO5A	FALSE	35	0.17412935323383086
NAGLU	Hs_R_NGS_WTA_v1.0	Endogenous	4669	NAGLU	FALSE	54	0.26865671641791045
PTCH1	Hs_R_NGS_WTA_v1.0	Endogenous	5727	PTCH1	FALSE	41	0.20398009950248755
NCF1	Hs_R_NGS_WTA_v1.0	Endogenous	653361, 654817	NCF1, NCF1C	FALSE	128	0.6368159203980099
NF1	Hs_R_NGS_WTA_v1.0	Endogenous	4763	NF1	FALSE	155	0.7711442786069652
PNP	Hs_R_NGS_WTA_v1.0	Endogenous	4860	PNP	FALSE	126	0.6268656716417911
NPC1	Hs_R_NGS_WTA_v1.0	Endogenous	4864	NPC1	FALSE	47	0.23383084577114427
OAT	Hs_R_NGS_WTA_v1.0	Endogenous	4942	OAT	FALSE	139	0.6915422885572139
OCRL	Hs_R_NGS_WTA_v1.0	Endogenous	4952	OCRL	FALSE	32	0.15920398009950248
PAH	Hs_R_NGS_WTA_v1.0	Endogenous	5053	PAH	FALSE	54	0.26865671641791045
PAX2	Hs_R_NGS_WTA_v1.0	Endogenous	5076	PAX2	FALSE	79	0.39303482587064675
PAX6	Hs_R_NGS_WTA_v1.0	Endogenous	5080	PAX6	FALSE	30	0.14925373134328357
PCBD1	Hs_R_NGS_WTA_v1.0	Endogenous	5092	PCBD1	FALSE	166	0.8258706467661692
PCCA	Hs_R_NGS_WTA_v1.0	Endogenous	5095	PCCA	FALSE	102	0.5074626865671642
PDHA1	Hs_R_NGS_WTA_v1.0	Endogenous	5160	PDHA1	FALSE	121	0.6019900497512438
PEPD	Hs_R_NGS_WTA_v1.0	Endogenous	5184	PEPD	FALSE	137	0.681592039800995
PEX12	Hs_R_NGS_WTA_v1.0	Endogenous	5193	PEX12	FALSE	34	0.1691542288557214
